Voucher Type,Invoice No,Date,Ref,Dr Account,Cr.Account,Cost Center,Amount,Narration
sales,6269,30-07-2014,00910 / SRI,,AAI Charges,00910 / SRI,1835,JOBNO:00910/ AWB/BL.NO.:17681755450 dt.18/07/2014/ BE.NO.:6196640 dt.22/07/2014/ SERA WHITE C-BYB 01 (10072825) (TEXTILE/LEATHER & CHEMICAL DYES)/ 1 PKG/95 KGS/ ,
sales,6269,30-07-2014,00910 / SRI,,DO CHARGES,00910 / SRI,5843,JOBNO:00910/ AWB/BL.NO.:17681755450 dt.18/07/2014/ BE.NO.:6196640 dt.22/07/2014/ SERA WHITE C-BYB 01 (10072825) (TEXTILE/LEATHER & CHEMICAL DYES)/ 1 PKG/95 KGS/ ,
sales,6269,30-07-2014,00910 / SRI,,Custom Duty,00910 / SRI,12481,JOBNO:00910/ AWB/BL.NO.:17681755450 dt.18/07/2014/ BE.NO.:6196640 dt.22/07/2014/ SERA WHITE C-BYB 01 (10072825) (TEXTILE/LEATHER & CHEMICAL DYES)/ 1 PKG/95 KGS/ ,
sales,6269,30-07-2014,00910 / SRI,,Service Tax,00910 / SRI,463.5,JOBNO:00910/ AWB/BL.NO.:17681755450 dt.18/07/2014/ BE.NO.:6196640 dt.22/07/2014/ SERA WHITE C-BYB 01 (10072825) (TEXTILE/LEATHER & CHEMICAL DYES)/ 1 PKG/95 KGS/ ,
sales,6270,30-07-2014,00910 / SRI,SRI AMBIKA TRADING COMPANY,,00910 / SRI,721.63,JOBNO:00910/ AWB/BL.NO.:17681755450 dt.18/07/2014/ BE.NO.:6196640 dt.22/07/2014/ SERA WHITE C-BYB 01 (10072825) (TEXTILE/LEATHER & CHEMICAL DYES)/ 1 PKG/95 KGS/ ,
sales,6270,30-07-2014,00910 / SRI,,Transport Charges,00910 / SRI,700,JOBNO:00910/ AWB/BL.NO.:17681755450 dt.18/07/2014/ BE.NO.:6196640 dt.22/07/2014/ SERA WHITE C-BYB 01 (10072825) (TEXTILE/LEATHER & CHEMICAL DYES)/ 1 PKG/95 KGS/ ,
sales,6270,30-07-2014,00910 / SRI,,Service Tax,00910 / SRI,21.63,JOBNO:00910/ AWB/BL.NO.:17681755450 dt.18/07/2014/ BE.NO.:6196640 dt.22/07/2014/ SERA WHITE C-BYB 01 (10072825) (TEXTILE/LEATHER & CHEMICAL DYES)/ 1 PKG/95 KGS/ ,
sales,6271,30-07-2014,00871 / ITI,ITI LIMITED,,00871 / ITI,4094.56,JOBNO:00871/ AWB/BL.NO.:21795254994 dt.12/07/2014/ BE.NO.:6141125 dt.17/07/2014/ SERVO AMPLIFIER TBS250/20Y1 ( 1 PCS@ EUR 2177.74/PCS)/ 1 PKG/1 KGS/ ,
sales,6271,30-07-2014,00871 / ITI,,Agency charges,00871 / ITI,2100,JOBNO:00871/ AWB/BL.NO.:21795254994 dt.12/07/2014/ BE.NO.:6141125 dt.17/07/2014/ SERVO AMPLIFIER TBS250/20Y1 ( 1 PCS@ EUR 2177.74/PCS)/ 1 PKG/1 KGS/ ,
sales,6271,30-07-2014,00871 / ITI,,AAI Charges,00871 / ITI,1735,JOBNO:00871/ AWB/BL.NO.:21795254994 dt.12/07/2014/ BE.NO.:6141125 dt.17/07/2014/ SERVO AMPLIFIER TBS250/20Y1 ( 1 PCS@ EUR 2177.74/PCS)/ 1 PKG/1 KGS/ ,
sales,6271,30-07-2014,00871 / ITI,,Service Tax,00871 / ITI,259.56,JOBNO:00871/ AWB/BL.NO.:21795254994 dt.12/07/2014/ BE.NO.:6141125 dt.17/07/2014/ SERVO AMPLIFIER TBS250/20Y1 ( 1 PCS@ EUR 2177.74/PCS)/ 1 PKG/1 KGS/ ,
sales,6272,30-07-2014,10040 / APOLLO,APOLLO TYRES LIMITED,,10040 / APOLLO,11347.7,JOBNO:10040/ AWB/BL.NO.: dt./ BE.NO.:3897185 dt.16/07/2014/ GOOD PACK SYSTEMS/ 192 PKG/24595.200 KGS/ ,
sales,6272,30-07-2014,10040 / APOLLO,,Documentation charges,10040 / APOLLO,250,JOBNO:10040/ AWB/BL.NO.: dt./ BE.NO.:3897185 dt.16/07/2014/ GOOD PACK SYSTEMS/ 192 PKG/24595.200 KGS/ ,
sales,6272,30-07-2014,10040 / APOLLO,,Agency charges,10040 / APOLLO,2500,JOBNO:10040/ AWB/BL.NO.: dt./ BE.NO.:3897185 dt.16/07/2014/ GOOD PACK SYSTEMS/ 192 PKG/24595.200 KGS/ ,
sales,6272,30-07-2014,10040 / APOLLO,,Customs Inspection Charges,10040 / APOLLO,1500,JOBNO:10040/ AWB/BL.NO.: dt./ BE.NO.:3897185 dt.16/07/2014/ GOOD PACK SYSTEMS/ 192 PKG/24595.200 KGS/ ,
sales,6272,30-07-2014,10040 / APOLLO,,Processing Expenses,10040 / APOLLO,1500,JOBNO:10040/ AWB/BL.NO.: dt./ BE.NO.:3897185 dt.16/07/2014/ GOOD PACK SYSTEMS/ 192 PKG/24595.200 KGS/ ,
sales,6272,30-07-2014,10040 / APOLLO,,CFS Charges,10040 / APOLLO,4887,JOBNO:10040/ AWB/BL.NO.: dt./ BE.NO.:3897185 dt.16/07/2014/ GOOD PACK SYSTEMS/ 192 PKG/24595.200 KGS/ ,
